movieCd	prdtYear	showTm	prdtStatNm	typeNm	nations	genres	directors	actors	showTypes	companys	audits
20100962	2010	91	개봉	장편	['한국']	['다큐멘터리']	['구수환&GOO Soo-hwan']	['이금희&LEE Geum-hee&나레이션&']	['필름&필름', '2D&디지털']	['20114875&KBS&KBS&제작사', '20101135&(주)씨타마운틴픽쳐스&Mountain Pictures Co.,Ltd&제작사', '20101135&(주)씨타마운틴픽쳐스&Mountain Pictures Co.,Ltd&배급사', '20100904&(주)엠라인디스트리뷰션&M-Line Distribution&해외세일즈사', '20101135&(주)씨타마운틴픽쳐스&Mountain Pictures Co.,Ltd&홍보사']	['2010-F355 &전체관람가']
20100046	2009	198	개봉	장편	['한국']	['드라마', '멜로/로맨스']	['정성일&JUNG Sung-il']	['신하균&SHIN Ha-kyun&영수&', '문정희&MOON Jeong-hee&미연&', '김혜나&KIM Hye-na&미연 1&', '정유미&JUNG Yu-Mi&선화&', '이성민&LEE Sung-min&미연 1 남편&', '요조&Yozoh&심은하&', '정인선&JEONG In-sun&임신한 소녀&', '정희진&&카페 춤추는 여 &', '조민정&&학예회 연극하는 아이들&', '박종은&&학예회 연극하는 아이들 &', '박지혜&&카페 대화 여 &', '박하연&&장님소녀 &', '하유미&&파스꾸찌 점원 여자&', '박희원&&학예회 12인조오케스트라 &', '이목원&LEE Mok-won&카페 전단주는 남자&', '이상윤&&학예회 12인조오케스트라&', '김태훈&&한강변 잠수부2&', '박미령&&호텔 나이든 아줌마 &', '임광철&&카페 대화 남1&', '정수정&&카페 전단주는 소녀&', '최용진&&노인 1 &', '김주미&&학예회 연극하는 아이들 &', '하은설&&&', '김영필&KIM Young-pil&박해일 닮은 남자&', '이용녀&LEE Yong-neo&영수 어머니/점쟁이 아줌마 &']	['필름&필름', '2D&디지털']	['20100894&영화사북극성(주)&Polaris&제작사', '20100209&(주)스폰지이엔티&Sponge Ent. Inc.&배급사', '20100904&(주)엠라인디스트리뷰션&M-Line Distribution&해외세일즈사', '20110446&(사)부산영상위원회&Busan Film Commission&제작서비스-로케이션', '20110363&서울영상위원회&Seoul Film Commission&제작서비스-로케이션']	['2010-F116&청소년관람불가']
20110014	1961	133	개봉	장편	['한국']	['사극', '드라마']	['신상옥&SHIN Sang-ok']	['신영균&SHIN Young-kyun&연산군&', '최은희&CHOI Eun-hee&신비&', '도금봉&DO Kum-bong&&', '신성일&SHIN Seong-il&진성대군&', '김동원&KIM Dong-won&성종&']	['필름&필름', '2D&디지털']	['20100951&신필름&&제작사']	['&청소년관람불가']
20101339	2010	105	개봉	장편	['한국']	['다큐멘터리']	['남무성&Nam Moo seung']	['남무성&Nam Moo-seung&나레이션&', '조성준&&출연 &', '김희동&&&', '최정훈&&최정훈&', '홍종민&&&', '김은민&&출연 &', '박종우&Jong-woo Park&출연 &', '조윤성&&출연 &', '남무성&Nam Moo-seung&&', '황태연&&&', '노상현&&&', '이동기&&출연&', '차정훈&CHA Jeong-hoon&출연 &', '유영수&&출연 &', '임인건&&&', '임재필&&&', '김수열&Kim Soo-yeol&&', '전계숙&&&', '이원술&&&', '이한진&&출연 &', '김준&KIM Jun&김준&']	['필름&필름', '2D&디지털']	['20114654&이써씬픽쳐스&&제작사', '20100929&KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)&KT&G SangsangMadang&배급사']	['2010-F452 &전체관람가']
20101211	2010	93	개봉	장편	['한국']	['다큐멘터리']	['김종철&KIM Jong-chul']	['오미희&OH Mee-hee&&']	['필름&필름', '2D&디지털']	['20101113&㈜스토리셋&Storyset Co., Ltd.&제작사', '20100890&(주)더피셔엔터테인먼트&Fisher Enterteinment LTD.&제작사', '20114672&씨너스엔터테인먼트(주)&CINUS ENTERTAINMENT&배급사']	['2010-F498&12세이상관람가']
20100191	2010	139	개봉	장편	['한국']	['드라마']	['이창동&LEE Chang-dong']	['윤정희&YOON Jeong-hee&양미자&', '이다윗&LEE Da-wit&종욱&', '김희라&KIM Hee-ra&강노인&', '안내상&AN Nae-sang&기범 아버지&', '홍성범&&오동민 기자&', '신소영&&희진 친구들&', '박용식&&신부님&', '조한기&&학생주임 &', '허윤선&&문화원 여직원&', '노정욱&No Jeong-uk&노래방 종업원 &', '김기현&&강노인 손자들&', '한수영&&박희진&', '김계선&&슈퍼 여자&', '장영주&&시강좌 여수강생 1&', '정은경&&시강좌 여수강생 5&', '박성국&PARK Sung-kuk&학교 선생님 &', '정재호&&의사1&', '김용란&&시강좌 여수강생 3&', '김용택&KIM Yong-taek&김용탁 시인&', '정대용&JEONG Dae-yong&시강좌 남수강생 1 &']	['필름&필름', '필름&영어자막', '2D&디지털']	['20100787&파인하우스필름(주)&PINEHOUSE FILM Co., Ltd&제작사', '20100161&(주)유니코리아문예투자&UniKorea Culture & Art Investment Co., Ltd.&제작사', '20100932&(주)넥스트엔터테인먼트월드(NEW)&Next Entertainment World&배급사', '20100161&(주)유니코리아문예투자&UniKorea Culture & Art Investment Co., Ltd.&제공', '20114833&케이티비네트워크(주)&KTB network. Co.,Ltd.&제공', '20061368&KTB 캐피탈㈜&KTB Capital&공동제공', '20100932&(주)넥스트엔터테인먼트월드(NEW)&Next Entertainment World&공동제공', '20102259&다이아파나 필름즈&Diaphana Films&공동제공', '20100851&(주)화인컷&Finecut Co., Ltd.&해외세일즈사']	['2010-F156&15세이상관람가']
20100202	2010	116	개봉	장편	['한국']	['드라마', '멜로/로맨스']	['홍상수&Hong Sangsoo']	['김상경&KIM Sang-kyung&&', '유준상&YU Jun-sang&&', '문소리&MOON So-ri&&', '예지원&YEA Ji-won&&', '김강우&KIM Gang-woo&&', '윤여정&YOUN Yuh-jung&&', '기주봉&KEY Joo-bong&통영 향토 역사관 관장 &', '김규리&KIM Gyu-ri&&', '김영호&KIM Young-ho&&', '이상철&&큰아버지&']	['필름&필름', '2D&디지털']	['20100332&(주)영화제작전원사 &Jeonwonsa Film Co.&제작사', '20100209&(주)스폰지이엔티&Sponge Ent. Inc.&배급사', '20100851&(주)화인컷&Finecut Co., Ltd.&해외세일즈사']	['2010-F117&청소년관람불가']
20101338	2009	103	개봉	장편	['한국']	['멜로/로맨스', '드라마']	['송인선&SONG In-seon']	['송창의&SONG Chang-eui&소방관,정구상&', '한덕호&Han deok-ho&김우식&', '서지혜&SEO Ji-hye&구상의 아내, 김순영&', '여현수&YEO Hyeon-soo&기록담당 소방관, 강석우&', '송선홍&&이정준&', '주아민&JOO Ah-min&성혜란&', '안유정&&이정준여친&', '서동영&&소방장 &', '한주희&&한수진&']	['필름&필름', '2D&디지털']	['20114657&미카필름&&제작사', '20101135&(주)씨타마운틴픽쳐스&Mountain Pictures Co.,Ltd&배급사']	['2010-F484 &전체관람가']
20070054	2006	131	개봉	장편	['한국']	['다큐멘터리']	['김명준&KIM Myeong-joon']	['조경래&&학생 고급부 1학년&', '김화수&&&', '조명수&&학생 고급부 2학년&', '홍성택&&윤택이 동생&', '홍성화&&학생 초급부 4학년&', '조성래&&학생 고급부 3학년 &', "김희숙&&사랑하는연인'영상&", '김희윤&&학생초급부3학년&', '박용일&&교원 &', '조영래&&학생 중급부 1학년 &', '박지연&&&', '박지영&&학생 고급부 1학년 &', '조창휘&&학생 초급부 6학년 &', '변재훈&&학생 고급부 3학년 &', '강성룡&&학생 고급부 2학년&', '서정화&&학생 중급부 3학년 &', '김대황&&학생 중급부 3학년&', '김일수&&학생 중급부 1학년 &', '윤병철&&학생 고급부 2학년 &', '장광수&&학생 중급부 2학년&', '장영진&&학생 중급부 3학년&', '정미나&&학생 중급부 2학년&', '박선화&&학생 고급부 1학년 &', '박세영&PARK Se-young&학생 고급부 1학년 &', '박순애&&학생 고급부 3학년 &', '박애리&&학생 고급부 3학년 &', '박애리&&학생 중급부 2학년 &', '정시영&&학생 초급부 4학년&', '오희연&&학생 초급부 4학년 &', '정지수&&학생 초급부 6학년&', '김정복&&학생 중급부 3학년 &', '김순&KIM Sun&&', '오경준&&학생 초급부 6학년 &', '김지연&&학생 초급부 5학년 &']	['필름&필름', '2D&디지털']	['20100914&스튜디오느림보&Studio Nurimbo&제작사', '20100631&(주)영화사 진진&JINJIN Pictures&배급사', '20100612&아트플러스시네마네트워크&&배급사', '20100914&스튜디오느림보&Studio Nurimbo&해외세일즈사']	['2007-F092&전체관람가']
20101208	2009	100	개봉	장편	['한국']	['다큐멘터리']	['정흠문&']	['윤도현&YOON Do-hyun&&', '박태희&PARK Tae-hee&&', '김진원&KIM jin-won&&']	['필름&필름', '2D&디지털']	['20063002&(주)인디플러그&Indieplug Inc&배급사']	['2010-F477&전체관람가']
